,t1,trgt,pt,sl
2009-10-02 09:31:33,2009-10-02 10:35:54,0.010010831607367718,1,1
2009-10-02 09:44:59,2009-10-02 10:35:54,0.010267644900292057,1,1
2009-10-02 09:53:14,2009-10-05 09:59:08,0.010378761281564222,1,1
2009-10-02 10:01:56,2009-10-05 09:59:08,0.010430105549131851,1,1
2009-10-02 10:09:13,2009-10-05 09:59:08,0.010453464640744304,1,1
2009-10-02 10:16:47,2009-10-05 09:59:08,0.010402779260780938,1,1
2009-10-02 10:18:43,2009-10-05 09:59:08,0.010357064598688808,1,1
2009-10-02 10:24:38,2009-10-05 09:59:08,0.01028186711264434,1,1
2009-10-02 10:34:22,2009-10-05 12:48:49,0.010161632541439763,1,1
2009-10-02 10:35:07,2009-10-05 12:48:49,0.010042083947372377,1,1
2009-10-05 11:27:18,2009-10-06 09:29:52,0.010259421740142707,1,1
2009-10-05 12:11:23,2009-10-06 09:29:52,0.011162219498248614,1,1
2009-10-05 12:48:49,2009-10-06 09:29:52,0.01165807877097561,1,1
2009-10-05 12:55:45,2009-10-06 09:29:52,0.012088672578430567,1,1
2009-10-05 13:18:03,2009-10-06 09:29:52,0.012481321223836765,1,1
2009-10-05 13:50:19,2009-10-06 09:29:52,0.01279342439089956,1,1
2009-10-05 14:20:00,2009-10-06 09:29:52,0.013080630268540325,1,1
2009-10-05 14:31:08,2009-10-06 09:47:30,0.013396097650274656,1,1
2009-10-05 14:44:32,2009-10-06 09:47:30,0.013755177103835614,1,1
2009-10-05 14:44:33,2009-10-06 09:47:30,0.014084712995162788,1,1
2009-10-05 14:58:52,2009-10-06 10:58:08,0.014463110766711279,1,1
2009-10-05 15:01:05,2009-10-06 11:40:56,0.015374009117819486,1,1
2009-10-05 15:32:58,2009-10-06 11:40:56,0.016000692788197185,1,1
2009-10-05 15:52:45,2009-10-06 10:16:02,0.01612065504594251,1,1
2009-10-06 09:29:52,2009-10-08 11:32:39,0.01654546029367018,1,1
2009-10-06 09:47:30,2009-10-12 09:45:01,0.0169513226999694,1,1
2009-10-06 10:16:02,2009-10-12 09:45:01,0.017115894392582726,1,1
2009-10-06 10:58:08,2009-10-12 13:06:27,0.017323071816531463,1,1
2009-10-06 11:40:56,2009-10-14 09:30:00,0.017495914151920363,1,1
2009-10-06 12:56:13,2009-10-12 10:59:16,0.017658341925075448,1,1
2009-10-06 13:10:56,2009-10-12 09:45:01,0.017623607968641476,1,1
2009-10-06 13:18:08,2009-10-12 09:45:01,0.017587030029067342,1,1
2009-10-06 13:39:18,2009-10-12 09:45:01,0.01755245845830617,1,1
2009-10-06 14:08:35,2009-10-08 11:32:39,0.017434207641779616,1,1
2009-10-06 14:31:46,2009-10-08 09:29:45,0.01728248256696658,1,1
2009-10-06 14:52:14,2009-10-09 15:59:49,0.017134174203701297,1,1
2009-10-06 15:08:56,2009-10-12 09:45:01,0.016997292319890136,1,1
2009-10-06 15:31:31,2009-10-12 09:45:01,0.016877518897335433,1,1
2009-10-06 15:50:22,2009-10-12 09:45:01,0.01673507832325832,1,1
2009-10-06 15:59:55,2009-10-12 09:45:01,0.016624870036060654,1,1
2009-10-07 09:29:13,2009-10-12 09:45:01,0.01649184803105163,1,1
