,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,71300,2,-400,-0.56,71100,71400,70800,6988218,497101486200,425645495815000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,557000,2,-3000,-0.54,560000,563000,551000,251421,140379001000,130338000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,116700,2,-800,-0.68,116500,117300,115200,1352313,157092787800,84957875995500,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,734000,2,-7000,-0.94,739000,743000,730000,24105,17787925000,52241716000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,59600,2,-200,-0.33,59800,59900,59300,628228,37411700800,49044047320000,822886700,STK
5,051910,KR7051910008,LG화학,KOSPI,,688000,1,1000,0.15,687000,704000,684000,233869,162373057000,48567531984000,70592343,STK
6,006400,KR7006400006,삼성SDI,KOSPI,,687000,2,-8000,-1.15,685000,695000,683000,154214,106145492000,47241232110000,68764530,STK
7,005380,KR7005380001,현대차,KOSPI,,200000,2,-2000,-0.99,202000,204000,200000,368400,74208108500,42306301200000,211531506,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,497500,2,-2000,-0.4,490500,507000,488500,1083143,537939202000,42074186925000,84571230,STK
9,003670,KR7003670007,포스코퓨처엠,KOSPI,,465000,2,-15000,-3.13,462000,471500,450000,1272287,587768356500,36020397300000,77463220,STK
10,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,356500,2,-4500,-1.25,347000,366000,338000,2749835,968816047500,34866179136000,97801344,KSQ
11,000270,KR7000270009,기아,KOSPI,,84100,2,-1900,-2.21,85300,86000,84000,789937,67059866600,33811917472300,402044203,STK
12,035420,KR7035420009,NAVER,KOSPI,,204500,3,0,0.0,202500,208500,202500,431295,88594184500,33548037882500,164049085,STK
13,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1084000,2,-33000,-2.95,1089000,1104000,1066000,428685,465554008000,28864392112000,26627668,KSQ
14,012330,KR7012330007,현대모비스,KOSPI,,242000,2,-2000,-0.82,244000,244500,240500,119837,29072301500,22816992748000,94285094,STK
15,035720,KR7035720002,카카오,KOSPI,,50600,1,200,0.4,50100,51100,50100,880025,44633927100,22479722474000,444263290,STK
16,068270,KR7068270008,셀트리온,KOSPI,,150100,1,200,0.13,149900,151100,149000,270025,40557082900,21973268386200,146390862,STK
17,066570,KR7066570003,LG전자,KOSPI,,121600,2,-1900,-1.54,122700,124200,121100,373098,45594043500,19899574182400,163647814,STK
18,105560,KR7105560007,KB금융,KOSPI,,48400,1,250,0.52,48150,48500,48050,515271,24910046550,19529935884800,403511072,STK
19,028260,KR7028260008,삼성물산,KOSPI,,102900,2,-400,-0.39,102700,103400,102600,88689,9128879600,19097382843000,185591670,STK
20,055550,KR7055550008,신한지주,KOSPI,,33800,1,250,0.75,33600,33950,33500,415143,14016269050,17520132588400,518347118,STK
21,096770,KR7096770003,SK이노베이션,KOSPI,,173600,1,4100,2.42,170600,182400,170500,1604141,283810606300,16052021910400,92465564,STK
22,003550,KR7003550001,LG,KOSPI,,87800,1,1400,1.62,86400,88100,85800,111299,9739587100,13811027185400,157300993,STK
23,032830,KR7032830002,삼성생명,KOSPI,,68900,2,-200,-0.29,68500,69200,68100,70797,4863603700,13780000000000,200000000,STK
